No of Trainings | Percentage0th training :=  Win Percent :21.9 | Draw Percent :13.3 | Lost Percent :64.8
280th training :=  Win Percent :20.2 | Draw Percent :15.1 | Lost Percent :64.7
281th training :=  Win Percent :22.6 | Draw Percent :16.2 | Lost Percent :61.2
282th training :=  Win Percent :25 | Draw Percent :13.8 | Lost Percent :61.2
283th training :=  Win Percent :21.1 | Draw Percent :13.7 | Lost Percent :65.2
284th training :=  Win Percent :21.1 | Draw Percent :14.4 | Lost Percent :64.5
285th training :=  Win Percent :23.1 | Draw Percent :15.1 | Lost Percent :61.8
286th training :=  Win Percent :27 | Draw Percent :14.4 | Lost Percent :58.6
287th training :=  Win Percent :21 | Draw Percent :15.1 | Lost Percent :63.9
288th training :=  Win Percent :23.3 | Draw Percent :15.9 | Lost Percent :60.8
289th training :=  Win Percent :21.9 | Draw Percent :15.5 | Lost Percent :62.6
290th training :=  Win Percent :19.9 | Draw Percent :15.3 | Lost Percent :64.8
291th training :=  Win Percent :21.8 | Draw Percent :14.7 | Lost Percent :63.5
292th training :=  Win Percent :21.4 | Draw Percent :12.8 | Lost Percent :65.8
293th training :=  Win Percent :22 | Draw Percent :14.1 | Lost Percent :63.9
294th training :=  Win Percent :22.7 | Draw Percent :14.7 | Lost Percent :62.6
295th training :=  Win Percent :23 | Draw Percent :13.6 | Lost Percent :63.4
296th training :=  Win Percent :21 | Draw Percent :16.5 | Lost Percent :62.5
297th training :=  Win Percent :22.4 | Draw Percent :15.9 | Lost Percent :61.7
298th training :=  Win Percent :24.2 | Draw Percent :13.7 | Lost Percent :62.1
299th training :=  Win Percent :21.5 | Draw Percent :14.5 | Lost Percent :64
300th training :=  Win Percent :21.6 | Draw Percent :15 | Lost Percent :63.4
301th training :=  Win Percent :24.4 | Draw Percent :14 | Lost Percent :61.6
302th training :=  Win Percent :23.3 | Draw Percent :14.3 | Lost Percent :62.4
303th training :=  Win Percent :24.6 | Draw Percent :13.6 | Lost Percent :61.8
304th training :=  Win Percent :21.9 | Draw Percent :14.7 | Lost Percent :63.4
305th training :=  Win Percent :24.3 | Draw Percent :15.7 | Lost Percent :60
306th training :=  Win Percent :24.7 | Draw Percent :16.1 | Lost Percent :59.2
307th training :=  Win Percent :26.7 | Draw Percent :14 | Lost Percent :59.3
308th training :=  Win Percent :22.6 | Draw Percent :14.9 | Lost Percent :62.5
309th training :=  Win Percent :21.1 | Draw Percent :14.6 | Lost Percent :64.3
310th training :=  Win Percent :20.9 | Draw Percent :15.9 | Lost Percent :63.2
311th training :=  Win Percent :22.9 | Draw Percent :16.2 | Lost Percent :60.9
312th training :=  Win Percent :21.5 | Draw Percent :14.7 | Lost Percent :63.8
313th training :=  Win Percent :22.9 | Draw Percent :14.1 | Lost Percent :63
314th training :=  Win Percent :23.4 | Draw Percent :15 | Lost Percent :61.6
315th training :=  Win Percent :24.1 | Draw Percent :13.1 | Lost Percent :62.8
316th training :=  Win Percent :23.1 | Draw Percent :14.4 | Lost Percent :62.5
317th training :=  Win Percent :24.9 | Draw Percent :12.6 | Lost Percent :62.5
318th training :=  Win Percent :23.1 | Draw Percent :15.4 | Lost Percent :61.5
319th training :=  Win Percent :21.3 | Draw Percent :13.8 | Lost Percent :64.9
320th training :=  Win Percent :23 | Draw Percent :13.8 | Lost Percent :63.2
321th training :=  Win Percent :21.1 | Draw Percent :15.5 | Lost Percent :63.4
322th training :=  Win Percent :24.3 | Draw Percent :15.6 | Lost Percent :60.1
323th training :=  Win Percent :20.2 | Draw Percent :18 | Lost Percent :61.8
324th training :=  Win Percent :21.6 | Draw Percent :13.8 | Lost Percent :64.6
325th training :=  Win Percent :21.7 | Draw Percent :13.6 | Lost Percent :64.7
326th training :=  Win Percent :26 | Draw Percent :14.6 | Lost Percent :59.4
327th training :=  Win Percent :21.7 | Draw Percent :15.6 | Lost Percent :62.7
328th training :=  Win Percent :22.3 | Draw Percent :13.5 | Lost Percent :64.2
329th training :=  Win Percent :23.2 | Draw Percent :17.1 | Lost Percent :59.7
