No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
463th training :=  Win Percent :90 | Draw Percent :0
464th training :=  Win Percent :100 | Draw Percent :0
465th training :=  Win Percent :100 | Draw Percent :0
466th training :=  Win Percent :90 | Draw Percent :10
467th training :=  Win Percent :100 | Draw Percent :0
468th training :=  Win Percent :80 | Draw Percent :20
469th training :=  Win Percent :100 | Draw Percent :0
470th training :=  Win Percent :90 | Draw Percent :10
471th training :=  Win Percent :100 | Draw Percent :0
472th training :=  Win Percent :100 | Draw Percent :0
473th training :=  Win Percent :90 | Draw Percent :10
474th training :=  Win Percent :100 | Draw Percent :0
475th training :=  Win Percent :100 | Draw Percent :0
476th training :=  Win Percent :80 | Draw Percent :10
477th training :=  Win Percent :90 | Draw Percent :10
478th training :=  Win Percent :90 | Draw Percent :10
479th training :=  Win Percent :90 | Draw Percent :10
480th training :=  Win Percent :90 | Draw Percent :10
481th training :=  Win Percent :100 | Draw Percent :0
482th training :=  Win Percent :100 | Draw Percent :0
483th training :=  Win Percent :90 | Draw Percent :0
484th training :=  Win Percent :100 | Draw Percent :0
485th training :=  Win Percent :100 | Draw Percent :0
486th training :=  Win Percent :100 | Draw Percent :0
487th training :=  Win Percent :100 | Draw Percent :0
488th training :=  Win Percent :90 | Draw Percent :10
489th training :=  Win Percent :100 | Draw Percent :0
490th training :=  Win Percent :100 | Draw Percent :0
491th training :=  Win Percent :100 | Draw Percent :0
492th training :=  Win Percent :90 | Draw Percent :10
493th training :=  Win Percent :100 | Draw Percent :0
494th training :=  Win Percent :100 | Draw Percent :0
495th training :=  Win Percent :90 | Draw Percent :10
496th training :=  Win Percent :100 | Draw Percent :0
497th training :=  Win Percent :90 | Draw Percent :10
498th training :=  Win Percent :90 | Draw Percent :10
499th training :=  Win Percent :80 | Draw Percent :10
500th training :=  Win Percent :90 | Draw Percent :10
501th training :=  Win Percent :100 | Draw Percent :0
502th training :=  Win Percent :90 | Draw Percent :10
503th training :=  Win Percent :100 | Draw Percent :0
504th training :=  Win Percent :100 | Draw Percent :0
505th training :=  Win Percent :100 | Draw Percent :0
506th training :=  Win Percent :100 | Draw Percent :0
507th training :=  Win Percent :90 | Draw Percent :10
508th training :=  Win Percent :100 | Draw Percent :0
509th training :=  Win Percent :100 | Draw Percent :0
510th training :=  Win Percent :100 | Draw Percent :0
511th training :=  Win Percent :100 | Draw Percent :0
512th training :=  Win Percent :80 | Draw Percent :20
513th training :=  Win Percent :100 | Draw Percent :0
514th training :=  Win Percent :100 | Draw Percent :0
515th training :=  Win Percent :100 | Draw Percent :0
516th training :=  Win Percent :100 | Draw Percent :0
517th training :=  Win Percent :100 | Draw Percent :0
518th training :=  Win Percent :100 | Draw Percent :0
519th training :=  Win Percent :80 | Draw Percent :10
520th training :=  Win Percent :90 | Draw Percent :10
521th training :=  Win Percent :100 | Draw Percent :0
522th training :=  Win Percent :100 | Draw Percent :0
523th training :=  Win Percent :90 | Draw Percent :10
524th training :=  Win Percent :90 | Draw Percent :0
525th training :=  Win Percent :80 | Draw Percent :20
526th training :=  Win Percent :100 | Draw Percent :0
527th training :=  Win Percent :100 | Draw Percent :0
528th training :=  Win Percent :90 | Draw Percent :10
529th training :=  Win Percent :100 | Draw Percent :0
530th training :=  Win Percent :100 | Draw Percent :0
531th training :=  Win Percent :100 | Draw Percent :0
532th training :=  Win Percent :90 | Draw Percent :0
533th training :=  Win Percent :100 | Draw Percent :0
534th training :=  Win Percent :90 | Draw Percent :10
535th training :=  Win Percent :100 | Draw Percent :0
536th training :=  Win Percent :100 | Draw Percent :0
537th training :=  Win Percent :100 | Draw Percent :0
538th training :=  Win Percent :90 | Draw Percent :10
539th training :=  Win Percent :100 | Draw Percent :0
540th training :=  Win Percent :90 | Draw Percent :10
541th training :=  Win Percent :100 | Draw Percent :0
542th training :=  Win Percent :100 | Draw Percent :0
