No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
243th training :=  Win Percent :92.6 | Draw Percent :4.3 | Lost Percent :3.1
244th training :=  Win Percent :91.2 | Draw Percent :4.5 | Lost Percent :4.3
245th training :=  Win Percent :92.1 | Draw Percent :5.3 | Lost Percent :2.6
246th training :=  Win Percent :90.4 | Draw Percent :5.2 | Lost Percent :4.4
247th training :=  Win Percent :92.4 | Draw Percent :3.9 | Lost Percent :3.7
248th training :=  Win Percent :92.2 | Draw Percent :4.1 | Lost Percent :3.7
249th training :=  Win Percent :92.1 | Draw Percent :4.6 | Lost Percent :3.3
250th training :=  Win Percent :92.6 | Draw Percent :4.2 | Lost Percent :3.2
251th training :=  Win Percent :91.9 | Draw Percent :4.3 | Lost Percent :3.8
252th training :=  Win Percent :90.5 | Draw Percent :5.5 | Lost Percent :4
253th training :=  Win Percent :91.7 | Draw Percent :4.8 | Lost Percent :3.5
254th training :=  Win Percent :92.5 | Draw Percent :4.2 | Lost Percent :3.3
255th training :=  Win Percent :92.6 | Draw Percent :4.6 | Lost Percent :2.8
256th training :=  Win Percent :90.1 | Draw Percent :5.3 | Lost Percent :4.6
257th training :=  Win Percent :92.9 | Draw Percent :3.9 | Lost Percent :3.2
258th training :=  Win Percent :92.9 | Draw Percent :3.6 | Lost Percent :3.5
259th training :=  Win Percent :90.6 | Draw Percent :5.9 | Lost Percent :3.5
260th training :=  Win Percent :92 | Draw Percent :4.7 | Lost Percent :3.3
261th training :=  Win Percent :91.6 | Draw Percent :4.2 | Lost Percent :4.2
262th training :=  Win Percent :90.6 | Draw Percent :5.2 | Lost Percent :4.2
263th training :=  Win Percent :91.5 | Draw Percent :5.2 | Lost Percent :3.3
264th training :=  Win Percent :91.8 | Draw Percent :4.7 | Lost Percent :3.5
265th training :=  Win Percent :91.3 | Draw Percent :3.8 | Lost Percent :4.9
266th training :=  Win Percent :92.6 | Draw Percent :4.1 | Lost Percent :3.3
267th training :=  Win Percent :91.1 | Draw Percent :4.8 | Lost Percent :4.1
268th training :=  Win Percent :92.3 | Draw Percent :4.7 | Lost Percent :3
269th training :=  Win Percent :92.5 | Draw Percent :4.6 | Lost Percent :2.9
270th training :=  Win Percent :92 | Draw Percent :4 | Lost Percent :4
271th training :=  Win Percent :91.4 | Draw Percent :5.1 | Lost Percent :3.5
272th training :=  Win Percent :92.5 | Draw Percent :4.9 | Lost Percent :2.6
273th training :=  Win Percent :91.5 | Draw Percent :4.3 | Lost Percent :4.2
274th training :=  Win Percent :91 | Draw Percent :5.4 | Lost Percent :3.6
275th training :=  Win Percent :89.4 | Draw Percent :6.2 | Lost Percent :4.4
276th training :=  Win Percent :90.3 | Draw Percent :6.3 | Lost Percent :3.4
277th training :=  Win Percent :92.1 | Draw Percent :5.1 | Lost Percent :2.8
278th training :=  Win Percent :91.8 | Draw Percent :5 | Lost Percent :3.2
279th training :=  Win Percent :91.4 | Draw Percent :5.2 | Lost Percent :3.4
280th training :=  Win Percent :91.5 | Draw Percent :4.7 | Lost Percent :3.8
281th training :=  Win Percent :91.6 | Draw Percent :5 | Lost Percent :3.4
282th training :=  Win Percent :91.9 | Draw Percent :4.9 | Lost Percent :3.2
283th training :=  Win Percent :92.2 | Draw Percent :4.5 | Lost Percent :3.3
284th training :=  Win Percent :90.2 | Draw Percent :5.7 | Lost Percent :4.1
285th training :=  Win Percent :92.8 | Draw Percent :4.5 | Lost Percent :2.7
286th training :=  Win Percent :91.5 | Draw Percent :5.1 | Lost Percent :3.4
287th training :=  Win Percent :92.5 | Draw Percent :4.3 | Lost Percent :3.2
288th training :=  Win Percent :92.4 | Draw Percent :4.5 | Lost Percent :3.1
289th training :=  Win Percent :90.9 | Draw Percent :5.1 | Lost Percent :4
290th training :=  Win Percent :92.3 | Draw Percent :4.3 | Lost Percent :3.4
291th training :=  Win Percent :91 | Draw Percent :5.6 | Lost Percent :3.4
292th training :=  Win Percent :93 | Draw Percent :4.6 | Lost Percent :2.4
293th training :=  Win Percent :91.8 | Draw Percent :4.7 | Lost Percent :3.5
294th training :=  Win Percent :93.1 | Draw Percent :4.1 | Lost Percent :2.8
295th training :=  Win Percent :91.7 | Draw Percent :5.5 | Lost Percent :2.8
296th training :=  Win Percent :92.8 | Draw Percent :4.4 | Lost Percent :2.8
297th training :=  Win Percent :94.1 | Draw Percent :3 | Lost Percent :2.9
298th training :=  Win Percent :92.5 | Draw Percent :3.8 | Lost Percent :3.7
299th training :=  Win Percent :92.5 | Draw Percent :3.7 | Lost Percent :3.8
300th training :=  Win Percent :92.2 | Draw Percent :4.3 | Lost Percent :3.5
301th training :=  Win Percent :93.4 | Draw Percent :3.8 | Lost Percent :2.8
302th training :=  Win Percent :93.6 | Draw Percent :3.6 | Lost Percent :2.8
303th training :=  Win Percent :92.2 | Draw Percent :4.7 | Lost Percent :3.1
304th training :=  Win Percent :92.9 | Draw Percent :4.7 | Lost Percent :2.4
305th training :=  Win Percent :92.6 | Draw Percent :4.1 | Lost Percent :3.3
306th training :=  Win Percent :91.8 | Draw Percent :5.2 | Lost Percent :3
307th training :=  Win Percent :92 | Draw Percent :4.2 | Lost Percent :3.8
308th training :=  Win Percent :91 | Draw Percent :5.3 | Lost Percent :3.7
309th training :=  Win Percent :92.4 | Draw Percent :4.5 | Lost Percent :3.1
310th training :=  Win Percent :92.1 | Draw Percent :5.4 | Lost Percent :2.5
311th training :=  Win Percent :91.3 | Draw Percent :5.2 | Lost Percent :3.5
312th training :=  Win Percent :91.3 | Draw Percent :4.9 | Lost Percent :3.8
